"";"No.";"Species";"Ring";"Nest_Brood";"Observer";"Sample_Date";"Brood_Status";"ID";"GC_Sample";"Date_Preparation";"Date_GC";"Sex";"Evaporated_fine_Scale";"Septum";"Date_Reffilling";"Evaporated";"Age";"Lat";"Long";"Incubation_Start";"Incubation_End";"Clutch_Fate";"Hatching_Date";"Incubation_Days";"Brood_Days";"easting";"northing";"Nest_or_Brood_Age";"time"
"w1";1;"KIP";"FH68731";404;"LEP";323;"Nest";"FH68731W323";"W1";1124;1125;"f";1;0;1118;1;"A";320982;7556278;313;326;"abandoned";NA;10;NA;320982;7556278;"10";1010
"w10";10;"MP";"FH72784";-102;"OV";428;"Brood";"FH72784W428";"W10";1126;1208;"m";2;0;1118;1;"A";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1130
"w11";11;"MP";"FH72596";108;"OV";415;"Nest";"FH72596W415";"W11";1126;1208;"f";2;0;1118;1;"A";NA;NA;406;NA;NA;NA;9;NA;319482;7556132;"9";1256
"w12";12;"KIP";"FH68845";-401;"LEP";414;"Brood";"FH68845W414";"W12";1126;1208;"m";1;0;1118;1;"A";321110;7556481;NA;NA;NA;NA;NA;NA;NA;NA;NA;1626
"w13";13;"MP";"FH68757";409;"LEP";410;"Nest";"FH68757W410";"W13";1126;1208;"m";1;0;1118;1;"A";321056;7555927;406;417;"predated?";NA;4;NA;321056;7555927;"4";1333
"w14";14;"KIP";"FH73330";-404;"LEP";421;"Brood";"FH73330W421";"W14";1126;1208;"m";0;1;1118;0;"A";320808;7555830;NA;NA;NA;NA;NA;NA;NA;NA;NA;1212
"w15";16;"KIP";"FH68752";417;"LEP";404;"Nest";"FH68752W404";"W15";1126;1208;"m";1;0;1118;1;"A";320843;7555958;316;409;"hatched";409;19;NA;320843;7555958;"19";1300
"w16";17;"MP";"FH47060";400;"OV";423;"Brood";"FH47060W423";"W16";1126;1208;"f";0;0;1118;0;"A";NA;NA;309;406;"hatched";406;28;17;319468;7556174;NA;1449
"w18";19;"WFP";"FH47988";115;"OV";430;"Brood";"FH47988W430";"W18";1126;1208;"f";1;0;1118;1;"A";NA;NA;404;428;"hatched";428;NA;2;319586;7555486;NA;903
"w19";21;"KIP";"FH72582";-407;"LEP";427;"Brood";"FH72582W427";"W19";1126;1208;"m";0;0;1118;0;"A";321069;7556021;NA;NA;NA;NA;NA;NA;NA;NA;NA;1108
