Table of Covariates associated with preen wax sampled processed by gaschromatography. ;;;;;;;;Coding of Column M indicates no evaporation (0), complete (1), half of the desired volume (2) and more than 500 µl (3). Tubes were openend to evaporate in the latter case.;;;;;;;;;;;;;;;;;;;;
No.;Species;Ring;Nest_Brood;Observer;Sample_Date;Brood_Status;ID;GC_Sample;Date_Preparation;Date_GC;Sex;Evaporated_fine_Scale;Septum;Date_Reffilling;Evaporated;Age;Lat;Long;Incubation_Start;Incubation_End;Clutch_Fate;Hatching_Date;Incubation_Days;Brood_Days;easting;northing;Nest_or_Brood_Age;time
1;KIP;FH68731;404;LEP;323;Nest;FH68731W323;W1;1124;1125;f;1;0;1118;1;A;320982;7556278;313;326;abandoned;NA;10;NA;320982;7556278;10;1010
10;MP;FH72784;-102;OV;428;Brood;FH72784W428;W10;1126;1208;m;2;0;1118;1;A;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1130
11;MP;FH72596;108;OV;415;Nest;FH72596W415;W11;1126;1208;f;2;0;1118;1;A;NA;NA;406;NA;NA;NA;9;NA;319482;7556132;9;1256
12;KIP;FH68845;-401;LEP;414;Brood;FH68845W414;W12;1126;1208;m;1;0;1118;1;A;321110;7556481;NA;NA;NA;NA;NA;NA;NA;NA;NA;1626
13;MP;FH68757;409;LEP;410;Nest;FH68757W410;W13;1126;1208;m;1;0;1118;1;A;321056;7555927;406;417;predated?;NA;4;NA;321056;7555927;4;1333
14;KIP;FH73330;-404;LEP;421;Brood;FH73330W421;W14;1126;1208;m;0;1;1118;0;A;320808;7555830;NA;NA;NA;NA;NA;NA;NA;NA;NA;1212
16;KIP;FH68752;417;LEP;404;Nest;FH68752W404;W15;1126;1208;m;1;0;1118;1;A;320843;7555958;316;409;hatched;409;19;NA;320843;7555958;19;1300
17;MP;FH47060;400;OV;423;Brood;FH47060W423;W16;1126;1208;f;0;0;1118;0;A;NA;NA;309;406;hatched;406;28;17;319468;7556174;NA;1449
19;WFP;FH47988;115;OV;430;Brood;FH47988W430;W18;1126;1208;f;1;0;1118;1;A;NA;NA;404;428;hatched;428;NA;2;319586;7555486;NA;903
21;KIP;FH72582;-407;LEP;427;Brood;FH72582W427;W19;1126;1208;m;0;0;1118;0;A;321069;7556021;NA;NA;NA;NA;NA;NA;NA;NA;NA;1108
2;KIP;FH73520;117;OV;422;Brood;FH73520W422;W2;1124;1125;f;1;0;1118;1;J;NA;NA;329;422;hatched;422;25;NA;319579;7556148;0;1543
22;MP;FH68893;409;LEP;414;Nest;FH68893W414;W20;1126;1208;f;2;0;1118;1;A;321056;7555927;406;417;predated?ted;NA;8;NA;321056;7555927;8;1145
23;KIP;FH73308;441;LEP;415;Nest;FH73308W415;W21;1126;1208;f;0;1;1118;0;A;320805;7555932;403;402;423;NA;12;NA;320805;7555932;13;1142
24;KIP;FH72666;125;OV;331;Nest;FH72666W331;W22;1126;1208;f;0;1;1130;0;A;NA;NA;318;421;hatched;421;13;NA;320277;7555439;13;1223
25;WFP;FH47227;108;OV;422;Brood;FH47227W422;W23;1126;1208;m;1;0;1130;1;A;NA;NA;326;421;hatched;421;26;2;319803;7556079;NA;940
26;MP;FH17846;429;LEP;330;Nest;FH17846W330;W24;1203;1208;f;1;0;1130;1;A;321027;7556148;326;NA;NA;NA;4;NA;321027;7556148;4;1630
27;KIP;FH73340;-402;LEP;417;Brood;FH73340W417;W25;1203;1208;m;0;1;1130;0;A;321128;7556240;NA;NA;NA;NA;NA;NA;NA;NA;NA;1700
28;KIP;FH72570;-101;OV;430;Brood;FH72570W430;W26;1203;1208;m;0;0;1130;0;A;320019;7557222;NA;NA;NA;NA;NA;NA;NA;NA;NA;1439
29;WFP;FH69267;419;LEP;427;Nest;FH69267W427;W27;1203;1208;m;1;0;1130;1;A;321117;7555933;416;NA;NA;NA;11;NA;321117;7555933;11;1353
30;KIP;FH73307;441;LEP;415;Nest;FH73307W415;W28;1203;1208;m;0;1;1130;0;A;320805;7555932;403;402;423;NA;12;NA;320805;7555932;13;1200
31;MP;FH47015;102;OV;331;Nest;FH47015W331;W29;1203;1208;m;0;0;1130;0;A;NA;NA;325;406;abandoned;NA;6;NA;320173;7555788;6;1625
3;WFP;FH68955;404;LEP;408;Nest;FH68955W408;W3;1124;1125;f;1;0;1118;1;A;319925;7554453;327;423;abandoned;NA;12;NA;319925;7554453;12;1224
32;KIP;FH69234;125;OV;401;Nest;FH69234W401;W30;1203;1208;m;1;0;1130;1;A;NA;NA;318;421;hatched;421;14;NA;320277;7555439;14;1538
33;WFP;FH69253;108;OV;422;Brood;FH69253W422;W31;1203;1208;f;1;0;1130;1;A;NA;NA;326;421;hatched;421;26;2;319803;7556079;NA;940
34;MP;FH68734;429;LEP;403;Nest;FH68734W403;W32;1203;1208;m;0;0;1130;0;A;321027;7556148;326;417;predated?ted;NA;8;NA;321027;7556148;8;1253
35;KIP;FH68899;405;LEP;322;Nest;FH68899W322;W33;1203;1208;m;1;0;1130;1;A;320656;7555703;316;411;hatched;411;6;NA;320656;7555703;6;1117
37;KIP;FH72665;131;OV;331;Nest;FH72665W331;W34;1203;1208;f;1;1;1130;1;A;NA;NA;328;413;PRED;NA;3;NA;320263;7555342;3;1115
38;KIP;FH73362;435;LEP;429;Brood;FH73362W429;W35;1203;1208;m;1;0;1130;1;A;320966;7556239;331;429;hatched;429;29;1;320966;7556239;NA;956
39;WFP;FH73354;415;LEP;424;Nest;FH73354W424;W36;1203;1208;m;1;1;1130;1;A;321004;7555861;416;NA;NA;NA;8;NA;321004;7555861;8;1544
41;MP;FH72673;102;OV;401;Nest;FH72673W401;W38;1203;1208;f;0;0;1130;0;A;NA;NA;325;406;abandoned;NA;7;NA;320173;7555788;7;NA
42;KIP;FH68761;432;LEP;409;Nest;FH68761W409;W39;1203;1208;f;0;0;1130;0;A;320914;7555963;330;413;predated?ted;NA;10;NA;320914;7555963;10;1347
4;WFP;FH73313;501;LEP;413;Nest;FH73313W413;W4;1124;1125;f;0;0;1118;0;A;319649;7553947;329;NA;NA;NA;15;NA;319650.5;7553946;14.5;855
43;MP;FH72681;104;OV;404;Nest;FH72681W404;W40;1203;1208;m;3;0;1130;1;A;NA;NA;327;413;trampled;NA;8;NA;320073;7555485;8;840
46;KIP;FH72671;NA;LEP;401;Unknown;FH72671W401;W42;1203;1208;f;1;0;1130;1;A;319618;7553288;NA;NA;NA;NA;NA;NA;NA;NA;Unknown;900
47;KIP;FH68752;417;LEP;409;Brood;FH68752W409;W43;1203;1208;m;1;0;1130;1;A;320843;7555958;316;409;hatched;409;19;1;320843;7555958;NA;956
49;KIP;FH69123;405;LEP;327;Nest;FH69123W327;W44;1203;1208;f;1;0;1130;1;A;320656;7555703;316;411;hatched;411;11;NA;320656;7555703;11;NA
50;MP;FH47040;101;OV;428;Brood;FH47040W428;W45;1203;1208;f;1;0;1130;1;A;NA;NA;318;415;hatched;415;28;10;319680;7556082;NA;1510
52;MP;FH72279;104;OV;401;Nest;FH72279W401;W48;1203;1208;f;3;0;1130;1;A;NA;NA;327;413;trampled;NA;5;NA;320073;7555485;5;1100
53;WFP;FH73312;408;LEP;414;Nest;FH73312W414;W49;1203;1208;m;3;1;1130;1;A;320033;7554704;406;421;predated?ted;NA;8;NA;320033;7554704;8;1020
5;MP;FH72697;109;OV;411;Nest;FH72697W411;W5;1124;1125;m;1;0;1118;1;A;NA;NA;406;NA;NA;NA;5;NA;319450;7556058;5;922
54;KIP;FH68745;432;LEP;408;Nest;FH68745W408;W50;1203;1208;m;1;0;1130;1;A;320914;7555963;330;413;predated?ted;NA;9;NA;320914;7555963;9;NA
55;KIP;FH72668;NA;LEP;401;Unknown;FH72668W401;W51;1203;1208;m;1;0;1130;1;A;319618;7553288;NA;NA;NA;NA;NA;NA;NA;NA;Unknown;900
56;KIP;FH72670;NA;LEP;401;Unknown;FH72670W401;W52;1203;1208;m;3;0;1130;1;A;319618;7553288;NA;NA;NA;NA;NA;NA;NA;NA;Unknown;900
57;KIP;FH68899;405;LEP;411;Brood;FH68899W411;W53;1203;1208;m;1;1;1130;1;A;320656;7555703;316;411;hatched;411;NA;1;320656;7555703;NA;1713
59;MP;FH72715;-102;OV;428;Brood;FH72715W428;W54;1203;1208;f;1;0;1130;1;A;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1110
60;MP;FH73501;107;OV;411;Nest;FH73501W411;W55;1203;1208;f;1;0;1130;1;A;NA;NA;407;403;PRED;NA;4;NA;319901;7557116;4;1514
61;MP;FH47160;101;OV;415;Brood;FH47160W415;W56;1203;1208;m;2;0;1130;1;A;NA;NA;318;415;hatched;415;28;1;319680;7556082;NA;1130
63;WFP;FH68760;411;LEP;410;Nest;FH68760W410;W58;1203;1208;f;3;1;1130;1;A;321094;7556349;407;430;hatched;430;3;NA;321094;7556349;3;1000
64;KIP;FH72561;116;OV;324;Nest;FH72561W324;W59;1203;1208;f;1;0;1130;1;A;NA;NA;322;327;PRED;NA;2;NA;319604;7556189;2;NA
6;MP;FH72680;103;OV;403;Nest;FH70680W403;W6;1124;1125;f;1;0;1118;1;A;NA;NA;326;424;hatched;424;8;NA;320080;7555571;3;1100
67;MP;FH72659;NA;LEP;325;Unknown;FH72659W325;W60;1203;1208;f;2;1;1130;1;A;319514;7556226;NA;NA;NA;NA;NA;NA;NA;NA;Unknown;2230
68;KIP;FH72669;NA;LEP;401;Unknown;FH72669W401;W61;1203;1208;m;3;1;1130;1;A;319618;7553288;NA;NA;NA;NA;NA;NA;NA;NA;Unknown;900
69;MP;FH72683;400;OV;428;Brood;FH72583W428;W62;1203;1208;m;1;0;1130;1;J;NA;NA;309;406;hatched;406;28;17;319502;7556642;22;1258
70;KIP;FH72208;401;LEP;322;Nest;FH72208W322;W63;1203;1208;m;0;1;1130;0;A;320956;7556194;313;328;abandoned;NA;9;NA;320956;7556194;9;1330
71;MP;FH47040;101;OV;415;Brood;FH47040W415;W64;1203;1208;f;1;0;1130;1;A;NA;NA;318;415;hatched;415;28;1;319680;7556082;NA;1120
72;WFP;FH73316;411;LEP;411;Nest;FH73316W411;W65;1203;1208;m;0;0;1130;0;A;321094;7556349;407;430;hatched;430;4;NA;321094;7556349;4;1235
73;WFP;FH17853;407;LEP;402;Nest;FH17853W402;W66;1203;1208;m;1;0;1130;1;A;321007;7555917;325;404;abandoned;NA;8;NA;321007;7555917;8;1040
